243	2	HATPase_c
244	2	APH_6_hur
245	0	none
246	2	Transpeptidase
247	0	none
248	2	Arr-ms
249	2	MFS_1
250	2	APH
251	2	Methyltransf_25
252	2	Response_reg
253	2	Lactamase_B
254	2	TetR_C_2
255	2	Acetyltransf_1
256	4	Pentapeptide_4
257	2	Beta-lactamase
258	2	RrnaAD
259	2	Acetyltransf_1
260	2	HTH_18
261	2	Acetyltransf_1
262	4	MatE
263	2	AA_kinase
264	0	none
265	2	CAT
266	2	CAT
267	2	HTH_1
268	2	Transpeptidase
269	2	Hexapep
270	2	RNA_pol_Rpb2_1
271	2	Acetyltransf_9
272	2	DHFR_1
273	1	HAMP
274	4	FemAB
275	2	APH
276	0	none
277	2	DHFR_1
278	1	Acetyltransf_3
279	2	Lactamase_B
280	4	Pentapeptide_4
281	2	Beta-lactamase2
282	2	MFS_1
284	2	Lactamase_B
285	2	Response_reg
286	2	RrnaAD
287	0	none
288	2	HTH_18
289	1	NTP_transf_2
290	0	none
291	2	MFS_1
292	4	Pentapeptide_4
293	2	EptA_B_N
294	2	FmrO
295	2	MFS_1
296	2	KNTase_C
297	2	Transpeptidase
298	2	Peptidase_M15
299	2	Response_reg
300	2	MFS_1
301	2	Erythro_esteras
302	0	none
303	2	ACR_tran
304	2	MFS_1
305	2	AadA_C
306	2	Dala_Dala_lig_C
307	2	MFS_1
308	2	HlyD_D23
309	2	Acetyltransf_1
310	2	Acetyltransf_1
singleton_1	1	Acetyltransf_10
singleton_10	1	Acetyltransf_8
singleton_100	1	Beta-lactamase2
singleton_101	1	Transpeptidase
singleton_102	1	Transpeptidase
singleton_103	1	Acetyltransf_1
singleton_104	1	Transpeptidase
singleton_105	0	none
singleton_106	1	Beta-lactamase2
singleton_107	1	Beta-lactamase
singleton_108	0	none
singleton_109	1	Acetyltransf_8
singleton_11	1	Antibiotic_NAT
singleton_110	2	Transpeptidase
singleton_111	1	MFS_1
singleton_112	1	HlyD_D23
singleton_113	1	ABC_tran
singleton_114	1	DHFR_2
singleton_115	1	Pentapeptide_4
singleton_116	1	HTH_26
singleton_117	1	Dala_Dala_lig_C
singleton_118	1	VanY
singleton_119	1	Acyl_transf_3
singleton_12	1	Acetyltransf_1
singleton_120	1	Beta-lactamase
singleton_121	1	Antibiotic_NAT
singleton_122	1	Acetyltransf_8
singleton_123	2	Pentapeptide_4
singleton_124	2	MFS_1
singleton_125	1	DUF4111
singleton_126	1	DHFR_2
singleton_127	1	Pentapeptide
singleton_128	1	Sugar_tr
singleton_129	1	Pentapeptide_4
singleton_13	1	Antibiotic_NAT
singleton_130	2	Pentapeptide_4
singleton_131	1	Lactamase_B
singleton_132	1	HlyD_D23
singleton_133	1	Pentapeptide_4
singleton_134	1	Acetyltransf_8
singleton_135	1	Arr-ms
singleton_136	2	Pentapeptide_4
singleton_137	2	Pentapeptide_4
singleton_138	1	DUF4111
singleton_139	1	Beta-lactamase2
singleton_14	1	RrnaAD
singleton_140	1	Acyl_transf_3
singleton_141	1	Ala_racemase_C
singleton_142	2	Pentapeptide_4
singleton_143	1	Beta-lactamase
singleton_144	1	MFS_1
singleton_145	1	Lactamase_B
singleton_146	1	Beta-lactamase
singleton_147	1	Lactamase_B
singleton_148	1	Beta-lactamase2
singleton_149	1	MFS_1
singleton_15	1	Beta-lactamase2
singleton_150	1	HlyD
singleton_151	1	Pentapeptide
singleton_152	1	Acetyltransf_8
singleton_153	1	VanY
singleton_154	1	MFS_1
singleton_155	1	DHFR_2
singleton_156	2	Pentapeptide_4
singleton_157	1	Pentapeptide_4
singleton_158	1	MFS_1
singleton_159	0	none
singleton_16	1	Adenyl_transf
singleton_160	1	Lactamase_B
singleton_161	1	FmrO
singleton_162	1	DHFR_1
singleton_163	1	MFS_1
singleton_164	1	Pentapeptide_4
singleton_165	1	Response_reg
singleton_166	2	Pentapeptide_4
singleton_167	1	APH
singleton_168	2	Pentapeptide_4
singleton_169	1	Transpeptidase
singleton_17	2	ABC_tran
singleton_170	1	RbpA
singleton_171	1	Acetyltransf_1
singleton_172	1	Pentapeptide_4
singleton_173	1	Lactamase_B
singleton_174	2	Pentapeptide_4
singleton_175	2	Pentapeptide_4
singleton_176	2	Pentapeptide_4
singleton_177	2	Pentapeptide_4
singleton_178	2	Pentapeptide_4
singleton_179	2	Pentapeptide_4
singleton_18	1	VanZ
singleton_180	2	Pentapeptide_4
singleton_181	1	Lactamase_B
singleton_182	2	ABC_tran
singleton_183	0	none
singleton_184	2	Pentapeptide_4
singleton_185	1	Pentapeptide_4
singleton_186	1	HATPase_c
singleton_187	1	Pentapeptide_4
singleton_188	2	Pentapeptide_4
singleton_189	1	Hexapep
singleton_19	1	MFS_1
singleton_190	2	Pentapeptide_4
singleton_191	1	Pentapeptide_4
singleton_192	2	Pentapeptide_4
singleton_193	2	Pentapeptide_4
singleton_194	1	Arr-ms
singleton_195	1	FmrO
singleton_196	0	none
singleton_197	2	Pentapeptide_4
singleton_198	1	Pentapeptide_4
singleton_199	1	Pentapeptide_4
singleton_2	1	Antibiotic_NAT
singleton_20	1	Transpeptidase
singleton_200	2	Pentapeptide_4
singleton_201	2	Pentapeptide_4
singleton_202	2	Pentapeptide_4
singleton_203	1	Lactamase_B
